elapsed_sec,bpm,spo2_uncal
4.105999208997673,78.86600319581015,77.82750699161508
9.108121166998899,62.87180594854693,79.04124306159619
14.110202874999231,64.08332965548549,79.34846610099433
19.113663374999305,64.08332965548549,79.48893266280427
24.09925037499852,69.26802743702095,79.52564632181566
29.118395208999573,69.26802743702095,79.51577295259229
34.11962354199932,64.42703669344655,79.50470988559444
39.12277662499764,63.74327039184778,79.49411621058066
44.12549812499856,63.74327039184778,79.47958750095006
49.11582966700007,66.05824119956847,79.98926526404375
54.11807208399841,67.46400056416901,79.88055498781097
59.127062333998765,64.50522931315135,80.12138390909325
