timestamp,brightness
173818.922291625,89.06427276234568
173819.139087041,97.00711082175926
173819.354742125,98.6404972029321
173819.572829416,100.47670669367284
173819.788040666,101.05817853009259
173820.005776416,101.76495949074074
173820.2222595,102.03296489197531
173820.427630708,102.17408275462962
173820.64431525,102.60923900462963
173820.862897541,102.96626929012346
173821.069699333,103.39771508487654
173821.28585025,104.39713348765432
173821.502055541,112.50870659722223
173821.702603833,111.08419945987654
173821.919428541,109.81299864969135
